time,force,position,velocity,acceleration,kinetic_energy,gravitational_potential_energy,total_mechanic_energy
0,-0.12,0.0017,0.037,0.35,1.7180949999999996e-4,0.1226527083826087,0.12282451788260869
0.050000000000000266,-0.11,0.0041,0.056,0.38,3.9356800000000006e-4,0.1224044235478261,0.1227979915478261
0.10000000000000009,-0.12,0.0074,0.076,0.383,7.24888e-4,0.1220630319,0.1227879199
0.15000000000000036,-0.13,0.0116,0.095,0.377,0.0011326375,0.12162853343913044,0.12276117093913044
0.20000000000000018,-0.12,0.0169,0.113,0.375,0.0016025095000000002,0.12108023776231885,0.12268274726231886
0.25,-0.11,0.023,0.132,0.377,0.0021867120000000004,0.12044918047391305,0.12263589247391304
0.30000000000000027,-0.12,0.03,0.151,0.387,0.0028615255,0.11972501637246377,0.12258654187246378
0.3500000000000001,-0.11,0.0381,0.17,0.402,0.0036269500000000007,0.11888705505507247,0.12251400505507247
0.40000000000000036,-0.11,0.047,0.191,0.42,0.0045783655,0.11796633212608697,0.12254469762608697
0.4500000000000002,-0.13,0.057,0.212,0.435,0.005640472,0.11693181198115943,0.12257228398115942
0.5,-0.11,0.0683,0.235,0.433,0.0069307375,0.11576280421739131,0.12269354171739132
0.5500000000000003,-0.11,0.0805,0.257,0.406,0.008289149499999999,0.11450068964057972,0.12278983914057971
0.6000000000000001,-0.13,0.094,0.276,0.365,0.009560088000000001,0.11310408744492755,0.12266417544492755
0.6500000000000004,-0.12,0.1083,0.293,0.342,0.010774049499999999,0.11162472363768117,0.12239877313768116
0.7000000000000002,-0.11,0.1233,0.308,0.358,0.011905432,0.11007294342028986,0.12197837542028986
0.75,-0.13,0.139,0.327,0.402,0.0134195895,0.10844874679275363,0.12186833629275362
0.8000000000000003,-0.12,0.1558,0.349,0.427,0.015286025499999998,0.10671075294927537,0.12199677844927537
0.8500000000000001,-0.12,0.1739,0.372,0.407,0.017367192,0.10483827148695653,0.12220546348695653
0.9000000000000004,-0.12,0.1932,0.391,0.365,0.019186565500000002,0.10284164760724637,0.12202821310724637
0.9500000000000002,-0.11,0.2133,0.407,0.354,0.020788949499999997,0.10076226211594203,0.12155121161594203
1,-0.12,0.2338,0.424,0.387,0.022561888,0.09864149581884059,0.12120338381884059
1.0500000000000003,-0.13,0.2554,0.446,0.412,0.024963958,0.0964069323057971,0.12137089030579709
1.1,-0.12,0.2783,0.468,0.396,0.027487512000000002,0.09403788117391304,0.12152539317391305
1.1500000000000004,-0.11,0.3025,0.486,0.366,0.029642598,0.0915343424231884,0.12117694042318841
1.2000000000000002,-0.13,0.3272,0.502,0.366,0.031626502,0.0889790776652174,0.1206055796652174
1.25,-0.12,0.3524,0.522,0.384,0.034196742,0.08637208689999999,0.1205688289
1.3000000000000003,-0.12,0.3792,0.543,0.387,0.0370035495,0.0835995729115942,0.12060312241159421
